StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,DistributionChannel,UserLanguage,Q1,Q24,Q3,Q4,Q12,Q20,Q23,Q21,Q13
Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,"What is your study participant ID (e.g., P0145)? You can find this information in your participant portfolio.",What are the last 4 digits of the phone number used to enroll in this study?,Did you attend your classes today?,"Did you study (e.g., review course notes, read text book, work on assignments) today?",Who did you interact with today?,"Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) at USF today?","Did you attend any social events (any gathering of at least 5 people) (e.g., organizations and clubs, hanging out with friends) not at USF today?",Did you exercise today?,"How do you feel overall about the interactions you had with others today? ""Most of my interactions today were"""
"{""ImportId"":""startDate"",""timeZone"":""America/New_York""}","{""ImportId"":""endDate"",""timeZone"":""America/New_York""}","{""ImportId"":""status""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/New_York""}","{""ImportId"":""_recordId""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID24_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID4""}","{""ImportId"":""QID12""}","{""ImportId"":""QID20""}","{""ImportId"":""QID23""}","{""ImportId"":""QID21""}","{""ImportId"":""QID13""}"
5/18/2023 23:47,5/18/2023 23:47,IP Address,100,39,TRUE,"Thursday, May 18, 2023",R_PU3jtqNCoWXBRqp,anonymous,EN,P0011,3270,"Yes, all of them",Yes,"Friends (at USF),Friends (not at USF),USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",exhausting
5/19/2023 0:15,5/19/2023 0:16,IP Address,100,60,TRUE,"Friday, May 19, 2023",R_2RVPMxwp2JB6YbG,anonymous,EN,P0027,5568,"Yes, all of them","No, and likely won't later either","Friends (at USF),Friends (not at USF),Significant Other",Yes,Yes,Yes,"exciting, delightful, and joyful"
5/19/2023 20:28,5/19/2023 20:29,IP Address,100,41,TRUE,"Friday, May 19, 2023",R_1ojsiyR8gfUY0ew,anonymous,EN,P0014,8349,"Yes, all of them","No, and likely won't later either","Friends (at USF),Family,Significant Other,Other (not at USF)","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/19/2023 20:45,5/19/2023 20:46,IP Address,100,50,TRUE,"Friday, May 19, 2023",R_2BzZOWzA9OnuA3v,anonymous,EN,P0027,5568,Some of them,Yes,"Friends (at USF),Significant Other","No, but I plan to later","No, and likely won't later either","No, and likely won't later either",boring
5/22/2023 20:05,5/22/2023 20:06,IP Address,100,33,TRUE,"Monday, May 22, 2023",R_29vt1KeOOjeXRiB,anonymous,EN,P0022,1921,"Yes, all of them",Yes,"Friends (at USF),Classmates,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/22/2023 20:31,5/22/2023 20:32,IP Address,100,96,TRUE,"Monday, May 22, 2023",R_2ZHPQIHMczVuqdQ,anonymous,EN,P0036,8622,"Yes, all of them","Yes, with more to do later","Friends (at USF),Friends (not at USF),Family,Classmates,USF Staff/Faculty,Other (at USF),Other (not at USF)",Yes,"No, and likely won't later either",Yes,"exciting, delightful, and joyful"
5/22/2023 21:36,5/22/2023 21:36,IP Address,100,34,TRUE,"Monday, May 22, 2023",R_3siQkAChVz9hBQ2,anonymous,EN,P0011,3270,I didn't have any classes today,Yes,"Friends (not at USF),Family,Classmates","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
5/22/2023 23:48,5/22/2023 23:49,IP Address,100,44,TRUE,"Monday, May 22, 2023",R_1djifHmKy2vQGzT,anonymous,EN,P0027,5568,"Yes, all of them",Yes,"Friends (at USF),Significant Other","No, and likely won't later either","No, and likely won't later either",Yes,boring
5/23/2023 20:03,5/23/2023 20:04,IP Address,100,70,TRUE,"Tuesday, May 23, 2023",R_2QfXCZkdDPVlvUK,anonymous,EN,P0027,5568,"Yes, all of them","Yes, with more to do later","Friends (at USF),Friends (not at USF),Significant Other","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",exhausting
5/23/2023 20:35,5/23/2023 20:36,IP Address,100,61,TRUE,"Tuesday, May 23, 2023",R_3VtvAqZKeTmtTiN,anonymous,EN,P0014,8349,"Yes, all of them",Yes,"Friends (at USF),Family,Significant Other","No, and likely won't later either","No, and likely won't later either","No, but I plan to later",relaxing and calm
5/23/2023 20:59,5/23/2023 20:59,IP Address,100,44,TRUE,"Tuesday, May 23, 2023",R_1FlzkypC4o88dkR,anonymous,EN,P0036,8622,"Yes, all of them","No, but I plan to later","Friends (at USF),Family","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",exhausting
5/23/2023 21:05,5/23/2023 21:07,IP Address,100,110,TRUE,"Tuesday, May 23, 2023",R_0HCf5wGMx2ixEZ3,anonymous,EN,P0034,8673,I didn't have any classes today,"No, and likely won't later either","Friends (not at USF),USF Staff/Faculty","Yes, with more to attend later","Yes, with more to attend later",Yes,"exciting, delightful, and joyful"
5/24/2023 0:59,5/24/2023 1:00,IP Address,100,32,TRUE,"Wednesday, May 24, 2023",R_3KqJmpx14DSY7u6,anonymous,EN,P0011,3270,"Yes, all of them",Yes,"Friends (at USF),Friends (not at USF),Family,Classmates,USF Staff/Faculty","No, and likely won't later either","No, and likely won't later either","No, and likely won't later either",relaxing and calm
